citing_assignee_organization,cpc_subclass_title,citation_count
HONDA GIKEN KOGYO KABUSHIKI KAISHA,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Occupant safety arrangements or fittings ; , e.g. crash pads -Inflatable occupant restraints or confinements designed to inflate upon impact or impending impact, e.g. air bags -Inflatable members -characterised by their shape, construction or spatial configuration-specially adapted for side protection",1
HONDA GIKEN KOGYO KABUSHIKI KAISHA,"Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for rendering innocuous -by using absorbents or adsorbents-characterised by the absorbed or adsorbed substances-Hydrocarbons",1
"HSIO Technologies, LLC","Details of instruments or arrangements of the types included in groups G01R5/00 - G01R13/00 and G01R31/00 -General constructional details-Housings; Supporting members; Arrangements of terminals-Test fixtures or contact fields; Connectors or connecting adaptors; Test clips; Test sockets -Sockets for IC's or transistors-Details-concerning contact pieces or mechanical details, e.g. hinges or cams; Shielding",1
"HSIO Technologies, LLC","Details of semiconductor or other solid state devices -Arrangements for cooling, heating, ventilating or temperature compensation ; ; Temperature sensing arrangements",1
"HSIO Technologies, LLC","Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCBs], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures -Fixed connections-for rigid printed circuits or like structures-characterised by the terminals-surface mounting terminals",1
"HSIO Technologies, LLC","Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCBs], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures -Fixed connections-for rigid printed circuits or like structures-connecting to other rigid printed circuits or like structures-by an interconnection through aligned holes in the boards or multilayer board",1
HUSKY INJECTION MOLDING SYSTEMS LTD.,"Pressure die casting or injection die casting, i.e. casting in which the metal is forced into a mould under high pressure-Accessories: Details-Means for forcing the molten metal into the die -Nozzles or shot sleeves",1
HYDAC ELECTRONIC GMBH,Magnets -Electromagnets; Actuators including electromagnets -with armatures-Rectilinearly-movable armatures -Armatures entering the winding-Armatures or stationary parts of magnetic circuit having permanent magnet,1
"Hand Held Products, Inc.","Methods or arrangements for sensing record carriers, ; e.g. for reading patterns;  -by electromagnetic radiation, e.g. optical sensing; by corpuscular radiation-by scanning of the records by radiation in the optical part of the electromagnetic spectrum-Fixed beam scanning-Photodetector array or CCD scanning",1
"Hand Held Products, Inc.","Methods or arrangements for sensing record carriers, ; e.g. for reading patterns;  -by electromagnetic radiation, e.g. optical sensing; by corpuscular radiation-by scanning of the records by radiation in the optical part of the electromagnetic spectrum-Fixed beam scanning-Photodetector array or CCD scanning-Light sources",1
"Hand Held Products, Inc.","Methods or arrangements for sensing record carriers, ; e.g. for reading patterns;  -by electromagnetic radiation, e.g. optical sensing; by corpuscular radiation-by scanning of the records by radiation in the optical part of the electromagnetic spectrum-further details of bar or optical code scanning devices",1
"Hand Held Products, Inc.","Methods or arrangements for sensing record carriers, ; e.g. for reading patterns;  -by electromagnetic radiation, e.g. optical sensing; by corpuscular radiation-using light without selection of wavelength, e.g. sensing reflected white light -Methods for optical code recognition-including a method step for retrieval of the optical code-extracting optical codes from image or text carrying said optical code",1
Hanon Systems,"Branching pipes; Joining pipes to walls -Joining pipes to walls or pipes, the joined pipe axis being perpendicular to the plane of the wall or to the axis of another pipe -fixed with screws",1
Hanon Systems,"Component parts, details or accessories of pumps or pumping installations, not provided for in groups F04C18/00 - F04C28/00-Lubrication ; Lubricant separation -Means for improving or restricting lubricant flow",1
Hanon Systems,"Details, component parts, or accessories -Rotors -specially for centrifugal pumps-Vanes-Geometry, shape-for special effects",1
Hanon Systems,"Tubular elements; Assemblies of tubular elements -Tubular elements and assemblies thereof with means for increasing heat-transfer area, e.g. with fins, with projections, with recesses -the means being only outside the tubular element-and extending transversely -the means having portions engaging further tubular elements",1
"Hau Ju Enterprise Co., Ltd.","Details of switching devices, not covered by groups H01H1/00 - H01H7/00-Distinguishing marks on switches, e.g. for indicating switch location in the dark; Adaptation of switches to receive distinguishing marks-Illumination of the symbols or distinguishing marks",1
"Hayward Industries, Inc.","Lift valves ; or globe valves; , i.e. cut-off apparatus with closure members having at least a component of their opening and closing motion perpendicular to the closing faces -with pivoted closure-members-with pivoted discs or flaps-with axis of rotation crossing the valve member, e.g. butterfly valves-specially adapted operating means therefor",1
"Headquarters, Inc.",Fittings or systems for preventing or indicating unauthorised use or theft of vehicles -actuating a signalling device,1
"Hewlett-Packard Development Company, L.P.","Substation equipment, e.g. for use by subscribers -including speech amplifiers-for providing handsfree use or a loudspeaker mode in telephone sets -Portable telephones adapted for handsfree use",1
"Hill-Rom Services, Inc.","Beds specially adapted for nursing; Devices for lifting patients or disabled persons -Devices for lifting patients or disabled persons, e.g. special adaptations of hoists thereto-Lateral movement of patients, e.g. horizontal transfer-Sliding sheets or mats",1
"Hill-Rom Services, Inc.","ICT specially adapted for therapies or health-improving plans, e.g. for handling prescriptions, for steering therapy or for monitoring patient compliance-relating to drugs or medications, e.g. for ensuring correct administration to patients-delivered via infusion or injection",1
"Hill-Rom Services, Inc.","Measuring for diagnostic purposes ; Identification of persons-Details of notification to user or communication with user or patient ; ; user input means -User input or interface means, e.g. keyboard, pointing device, joystick",1
Hirschmann Car Communication GmbH,"Details of, or arrangements associated with, antennas -Adaptation for use in or on movable bodies -Adaptation for use in or on road or rail vehicles-characterised by the location of the antenna on the vehicle-mounted on a horizontal surface of the vehicle, e.g. on roof, hood, trunk",1
"Hitachi Construction Machinery Co., Ltd.","Component parts of dredgers or soil-shifting machines, not restricted to one of the kinds covered by groups E02F3/00 - E02F7/00 -Drives; Control devices -Electric or electro-mechanical or mechanical control devices of vehicle sub-units -Control of propulsion units -of the hybrid type",1
"Honda Motor Co., Ltd.",Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries-for charging batteries from ac mains by converters-Regulation of charging current or voltage-the charge cycle being controlled in response to a measured parameter,1
"Honda Motor Co., Ltd.","Details of television systems -Transforming light or analogous information into electric information -using solid-state image sensors [SSIS] -Noise processing, e.g. detecting, correcting, reducing or removing noise-applied to dark current",1
"Honda Motor Co., Ltd.","Devices in which sound is produced by vibrating a diaphragm or analogous element, e.g. fog horns, vehicle hooter, buzzer -Details, e.g. bulbs, pumps, pistons, switch, casing -Mountings; Casings",1
"Honda Motor Co., Ltd.","Exhaust or silencing apparatus characterised by constructional features ; ; Exhaust or silencing apparatus, or parts thereof, having pertinent characteristics not provided for in, or of interest apart from, groups F01N1/00 - F01N5/00, F01N9/00, F01N11/00-Other arrangements or adaptations of exhaust conduits -of tailpipe, e.g. with means for mixing air with exhaust for exhaust cooling, dilution or evacuation",1
"Honda Motor Co., Ltd.","Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Control systems or circuits characterised by their input, i.e. by the detection, measurement or calculation of particular conditions, e.g. signal treatment, dynamic models-by the detection of humidity or frost",1
"Honda Motor Co., Ltd.","Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Arrangements for converting the position or the displacement of a member into a coded form-Pointing devices displaced or positioned by the user, e.g. mice, trackballs, pens or joysticks; Accessories therefor -with detection of 2D relative movements between the device, or an operating part thereof, and a plane or surface, e.g. 2D mice, trackballs, pens or pucks-Touch pads, in which fingers can move on a surface",1
"Honda Motor Co., Ltd.","Interconnection of, or transfer of information or other signals between, memories, input/output devices or central processing units -Information transfer, e.g. on bus -Bus structure -Coupling between buses-using switching circuits, e.g. switching matrix, connection or expansion network",1
"Honda Motor Co., Ltd.","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-specially adapted for specific applications-Dynamic re-routing, e.g. recalculating the route when the user deviates from calculated route or after detecting real-time traffic data or accidents",1
"Honda Motor Co., Ltd.","Non-insulated conductors or conductive bodies characterised by their form-Single bars, rods, wires, or strips",1
"Honda Motor Co., Ltd.","Other engines characterised by special shape or construction of combustion chambers to improve operation -with compression ignition-the combustion space being arranged in working piston -Details related to the fuel injector or the fuel spray-Means or methods to improve the spray dispersion, evaporation or ignition-the fuel spray impinging on reflecting surfaces or being specially guided throughout the combustion space",1
"Honda Motor Co., Ltd.","Traffic control systems for road vehicles -Arrangements for giving variable traffic instructions -having an indicator mounted inside the vehicle, e.g. giving voice messages-Systems involving transmission of highway information, e.g. weather, speed limits -where the received information might be used to generate an automatic action on the vehicle control-where the received information does not generate an automatic action on the vehicle control",1
Honeywell International Inc.,Arrangements or adaptations of instruments,1
Honeywell International Inc.,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements-Input arrangements or combined input and output arrangements for interaction between user and computer -Interaction techniques based on graphical user interfaces [GUI]-for the control of specific functions or operations, e.g. selecting or manipulating an object or an image, setting a parameter value or selecting a range",1
Honeywell International Inc.,"Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration-by making use of inertia forces ; using solid seismic masses-with conversion into electric or magnetic values-Details",1
Honeywell International Inc.,"Optical objectives characterised both by the number of the components and their arrangements according to their sign, i.e. + or - -having two components only",1
Honeywell International Inc.,"Testing or calibrating of apparatus for measuring force, torque, work, mechanical power, or mechanical efficiency",1
Honeywell Technologies Sarl,"Arrangements or adaptations of air-treatment apparatus for aircraft crew or passenger, or freight space; ; or structural parts of the aircarft-the air being conditioned",1
Hong Kong Applied Science and Technology Research Institute Company Limited,Details of semiconductor or other solid state devices -Protection against mechanical damage,1
Howaldtswerke-Deutsche Werft GmbH,"Underwater vessels, e.g. submarines; ; Equipment specially adapted therefor-Propulsion",1
"Huawei Technologies Co., Ltd.","Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries-Parallel operation in networks using both storage and other dc sources, e.g. providing buffering -The other DC source being a battery actively interacting with the first one, i.e. battery to battery charging",1
Huf Hülsbeck & Fürst GmbH & Co. KG,"Devices for measuring, signalling, controlling, or distributing tyre pressure or temperature, specially adapted for mounting on vehicles; Arrangement of tyre inflating devices on vehicles, e.g. of pumps or of tanks; Tyre cooling arrangements-Signalling devices actuated by tyre pressure -mounted on the wheel or tyre-transmitting the signals by non-mechanical means from the wheel or tyre to a vehicle body mounted receiver-Automatically identifying wheel mounted units, e.g. after replacement or exchange of wheels-allocating a corresponding wheel position on vehicle, e.g. front/left or rear/right",1
"Hyundai Mobis Co., Ltd.","Arrangements or adaptations of optical signalling or lighting devices -the devices being primarily intended to illuminate the way ahead or to illuminate other areas of way or environments-the devices being headlights-adjustable, e.g. remotely controlled from inside vehicle -automatically-due to special conditions, e.g. adverse weather, type of road, badly illuminated road signs or potential dangers",1
Hyundai Motor Company,"Apparatus for, or methods of, measuring force, work, mechanical power, or torque, specially adapted for specific purposes-for measuring the force applied to control members, e.g. control members of vehicles, triggers-to foot actuated controls, e.g. brake pedals",1
Hyundai Motor Company,"Arrangements or adaptations of signal devices not provided for in one of the preceding main groups, ; e.g. haptic signalling-for parking purposes, e.g. for warning the driver that his vehicle has contacted or is about to contact an obstacle -using wave sensors",1
Hyundai Motor Company,"Brake-action initiating means-for automatic initiation; for initiation not subject to will of driver or passenger -initiated by contact of vehicle, e.g. bumper, with an external object, e.g. another vehicle ; , or by means of contactless obstacle detectors mounted on the vehicle",1
Hyundai Motor Company,Control arrangements or safety devices specially adapted for heat-exchange or heat-transfer apparatus,1
Hyundai Motor Company,Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing corrections for particular conditions exterior to the engine,1
Hyundai Motor Company,"Engine-pertinent apparatus for adding non-fuel substances or small quantities of secondary fuel to combustion-air, main fuel or fuel-air mixture -adding fuel vapours drawn from engine fuel reservoir -Arrangement of valves controlling the admission of fuel vapour to an engine, e.g. valve being disposed between fuel tank or absorption canister and intake manifold",1
Hyundai Motor Company,"Purposes of road vehicle drive control systems not related to the control of a particular sub-unit, e.g. of systems using conjoint control of vehicle sub-units ; , or advanced driver assistance systems for ensuring comfort, stability and safety or drive control systems for propelling or retarding the vehicle -Active safety systems;  predicting or avoiding probable or impending collision ; or attempting to minimise its consequences-Predicting travel path or likelihood of collision-the prediction being responsive to vehicle dynamic parameters",1
"IBIDEN CO., LTD.",Ohmic-resistance heating-Heater elements characterised by the composition or nature of the materials or by the arrangement of the conductor -characterised by the composition or nature of the conductive material,1
ICR TURBINE ENGINE CORPORATION,"Adaptations of machines or engines for special use; Combinations of engines with devices driven thereby -Adaptations for driving vehicles, e.g. locomotives",1
IDENT LLC,"Electronic switching or gating, i.e. not by contact-making and –breaking -characterised by the way in which the control signals are generated-Proximity switches",1
IFIRE IP CORPORATION,"Electroluminescent light sources-Light sources with substantially two-dimensional radiating surfaces-characterised by the chemical or physical composition or the arrangement of the electroluminescent material ; , or by the simultaneous addition of the electroluminescent material in or onto the light source-Arrangements of the electroluminescent material",1
IN&MOTION,"Substation equipment, e.g. for use by subscribers -Mobile telephones; Cordless telephones, i.e. devices for establishing wireless links to base stations without route selection-User interfaces specially adapted for cordless or mobile telephones-with means for local support of applications that increase the functionality-by interfacing with external accessories -using two-way short-range wireless interfaces",1
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,"Circuit arrangements for charging or depolarising batteries or for supplying loads from batteries-acting upon several batteries simultaneously or sequentially -Circuits for equalisation of charge between batteries-using shunting, discharge or bypass circuits",1
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,Dynamo-electric clutches; Dynamo-electric brakes-of the permanent-magnet type,1
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,"Dynamo-electric clutches; Dynamo-electric brakes-of the permanent-magnet type-Magnetic gearings, i.e. assembly of gears, linear or rotary, by which motion is magnetically transferred without physical contact",1
INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,Measuring arrangements characterised by the use of electric or magnetic means-for measuring angles or tapers; for testing the alignment of axes-for testing the alignment of axes,1
INGERSOLL-RAND INDUSTRIAL U.S. INC.,"Heat-exchange apparatus having stationary plate-like or laminated conduit assemblies for both heat-exchange media, the media being in contact with different sides of a conduit wall -the plate-like or laminated conduits being enclosed within a pressure vessel",1
INSTITUT VEDECOM,"Details of semiconductor or other solid state devices -Arrangements for conducting electric current within the device in operation from one component to another ; , i.e. interconnections, e.g. wires, lead frames -the interconnection structure between a plurality of semiconductor chips being formed on, or in, insulating substrates -the chips being integrally enclosed by the interconnect and support structures",1
"INVISITRACK, INC.","Position-fixing by co-ordinating two or more direction or position line determinations; Position-fixing by co-ordinating two or more distance determinations -using radio waves -Trajectory determination or predictive filtering, e.g. target tracking or Kalman filtering",1
"Ichikoh Industries, Ltd.","Illuminating devices specially adapted for vehicle exteriors, e.g. headlamps -characterised by a variable light distribution-by acting on light sources-by moving light sources",1
"In Touch Pharmaceuticals, Inc.",Programme-controlled manipulators-Programme controls -characterised by the tasks executed-Teleoperation,1
Infineon Technologies AG,"Devices for measuring, signalling, controlling, or distributing tyre pressure or temperature, specially adapted for mounting on vehicles; Arrangement of tyre inflating devices on vehicles, e.g. of pumps or of tanks; Tyre cooling arrangements-Signalling devices actuated by tyre pressure -mounted on the wheel or tyre-transmitting the signals by non-mechanical means from the wheel or tyre to a vehicle body mounted receiver-characterised by the type of signal transmission means-Radio signals-Wheel or tyre mounted circuits-Transmission control of wireless signals-self triggered by motion sensor",1
Infineon Technologies AG,Magnets -Permanent magnets ; [PM]-Magnetic circuits with PM in general,1
Infineon Technologies AG,Measuring linear or angular speed; Measuring differences of linear or angular speeds -Devices characterised by the use of electric or magnetic means -for measuring angular speed -by measuring frequency of generated current or voltage -of pulse signals,1
Infineon Technologies AG,"Power-assisted or power-driven steering -electrical, e.g. using an electric servo-motor connected to, or forming part of, the steering gear-characterised by control features of the drive means as such -monitoring the steering system, e.g. failures-for reaction to failures, e.g. limp home",1
Infineon Technologies Austria AG,"Circuits for generating electric pulses; Monostable, bistable or multistable circuits -Details-Modifications of generator to improve response time or to decrease power consumption",1
Infineon Technologies Austria AG,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Electrodes ; ; Multistep manufacturing processes therefor-characterised by their shape, relative sizes or dispositions-not carrying the current to be rectified, amplified or switched-Gate electrodes for field effect devices-for field-effect transistors-with insulated gate-Disposition, e.g. buried gate electrode -within a trench, e.g. trench gate electrode, groove gate electrode",1
"Institute of Geology and Geophysics, Chinese Academy of Sciences","Measuring acceleration; Measuring deceleration; Measuring shock, i.e. sudden change of acceleration-by making use of inertia forces ; using solid seismic masses-with conversion into electric or magnetic values-by capacitive pick-up",1
Integral Powertrain Limited,Pumping installations or systems -Units comprising pumps and their driving means -the driving means being assisted by a power recovery turbine,1
Intel Corporation,"Automatic control of frequency or phase; Synchronisation -using a reference signal applied to a frequency- or phase-locked loop-Details of the phase-locked loop-concerning mainly the frequency- or phase-detection arrangement including the filtering or amplification of its output signal -the phase or frequency detector generating up-down pulses -the up-down pulses controlling source and sink current generators, e.g. a charge pump-Details of the current generators -the source or sink current values being variable",1
Intel Corporation,"Details not covered by groups G06F3/00 – G06F13/00 and G06F21/00 -Power supply means, e.g. regulation thereof -Means for saving power-Power management, i.e. event-based initiation of power-saving mode-Power saving characterised by the action undertaken-Power saving in peripheral device-Power saving in modem or I/O interface",1
Intel Corporation,"Methods or arrangements for processing data by operating upon the order or content of the data handled -Methods or arrangements for performing computations using exclusively denominational number representation, e.g. using binary, ternary, decimal representation-using non-contact-making devices, e.g. tube, solid state device; using unspecified devices-Adding; Subtracting -in bit-parallel fashion, i.e. having a different digit-handling circuit for each denomination-in which one operand is a constant, i.e. incrementers or decrementers",1
Intel Corporation,"Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Details of the output of route guidance instructions -Landmark guidance, e.g. using POIs or conspicuous other objects",1
Intel Corporation,"Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-the devices having at least one potential-jump barrier or surface barrier, e.g. PN junction, depletion layer or carrier concentration layer -Manufacture or treatment of parts, e.g. containers, prior to assembly of the devices, using processes not provided for in a single one of the subgroups H01L21/06 - H01L21/326-Conductive parts-Leads on or in insulating or insulated substrates, e.g. metallisation",1
International Business Machines Corporation,"Arrangement or mounting of control or safety devices -for compression type machines, plant or systems",1
International Business Machines Corporation,"Arrangements for program control, e.g. control units -using stored programs, i.e. using an internal store of processing equipment to receive or retain programs-Arrangements for executing specific programs-Execution arrangements for user interfaces",1
International Business Machines Corporation,Arrangements for software engineering -Transformation of program code-Compilation,1
International Business Machines Corporation,"Coin-freed apparatus with meter-controlled dispensing of liquid, gas or electricity-for electricity-Rewarding for providing delivery of electricity to the network",1
International Business Machines Corporation,"Devices consisting of a plurality of semiconductor or other solid-state components formed in or on a common substrate -including semiconductor components specially adapted for rectifying, oscillating, amplifying or switching and having at least one potential-jump barrier or surface barrier; including integrated passive circuit elements with at least one potential-jump barrier or surface barrier-the substrate being other than a semiconductor body, e.g. an insulating body-the substrate comprising an insulating body on a semiconductor body, e.g. SOI",1
International Business Machines Corporation,"Machines, plant, or systems, using a combination of modes of operation covered by two or more of the groups F25B1/00 - F25B23/00 -using primary and secondary systems",1
International Business Machines Corporation,"Methods of charging batteries, specially adapted for electric vehicles; Charging stations or on-board charging equipment therefor; Exchange of energy storage elements in electric vehicles-Monitoring or controlling charging stations-Off-site monitoring or control, e.g. remote control",1
International Business Machines Corporation,"Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Details of route searching algorithms, e.g. Dijkstra, A*, arc-flags, using precalculated routes",1
International Business Machines Corporation,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-with correlation of data from several navigational instruments-Map- or contour-matching,1
International Business Machines Corporation,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-with correlation of data from several navigational instruments-Map- or contour-matching-Structuring or formatting of map data,1
International Business Machines Corporation,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Semiconductor bodies ; ; Multistep manufacturing processes therefor-characterised by their shape; characterised by the shapes, relative sizes, or dispositions of the semiconductor regions ; ; characterised by the concentration or distribution of impurities within semiconductor regions-with semiconductor regions connected to an electrode carrying current to be rectified, amplified or switched and such electrode being part of a semiconductor device which comprises three or more electrodes-Source or drain regions of field-effect devices-of field-effect transistors with insulated gate -of DMOS transistors-Drain regions-Impurity concentration or distribution",1
International Business Machines Corporation,"Testing or measuring during manufacture or treatment; Reliability measurements, i.e. testing of parts without further processing to modify the parts as such; Structural arrangements therefor-Structural arrangements specially adapted for testing or measuring during manufacture or treatment, or specially adapted for reliability measurements-Additional lead-in metallisation on a device or substrate, e.g. additional pads or pad portions, lines in the scribe line, sacrificed conductors",1
International Rectifier Corporation,"Conversion of dc power input into dc power output-without intermediate conversion into ac-by static converters-using discharge tubes with control electrode or semiconductor devices with control electrode -using devices of a triode or transistor type requiring continuous application of a control signal-using semiconductor devices only-with automatic control of output voltage or current, e.g. switching regulators-including plural semiconductor devices as final control devices for a single load-with a plurality of power processing stages connected in parallel",1
Intersil Americas LLC,"Arrangements for testing electric properties; Arrangements for locating electric faults; Arrangements for electrical testing characterised by what is being tested not provided for elsewhere -Arrangements for testing, measuring or monitoring the electrical condition of accumulators or electric batteries, e.g. capacity or state of charge [SoC]-Acquisition or processing of data for testing or for monitoring individual cells or groups of cells within a battery",1
JAIN IRRIGATION SYSTEMS LIMITED,Rigid pipes-of plastics with or without reinforcement,1
JAPAN DISPLAY INC.,Arrangement of adaptations of instruments,1
"JAVAD GNSS, Inc.","Steering controls, i.e. means for initiating a change of direction of the vehicle-not vehicle-mounted -non-mechanical ; , e.g. following a line or other known markers",1
JOHNSON ELECTRIC INTERNATIONAL AG,"Power-assisted or power-driven steering -electrical, e.g. using an electric servo-motor connected to, or forming part of, the steering gear-characterised by constructional features, e.g. common housing for motor and gear box-including housing for electronic control unit",1
JOHNSON ELECTRIC S.A.,"Details, component parts, or accessories -Rotors specially for elastic fluids-for axial flow pumps-for axial flow fans -comprising a rotating shroud",1
JOHNSON ELECTRIC S.A.,"Structural association of dynamo-electric machines with electric components or with devices for shielding, monitoring or protection -for measuring, monitoring, testing, protecting or switching -Devices for sensing speed or position, or actuated thereby -Detecting coils",1
"JR Koop, Inc.",Exhaust or silencing apparatus combined or associated with devices profiting from exhaust energy -the devices using heat,1
JTEKT CORPORATION,"Power-assisted or power-driven steering -electrical, e.g. using an electric servo-motor connected to, or forming part of, the steering gear-characterised by control features of the drive means as such -Controlling the motor-for damping vibrations",1
Jatco Ltd.,"Control functions within ; control units of;  change-speed- or reversing-gearings for conveying rotary motion ; ; Control of exclusively fluid gearing, friction gearing, gearings with endless flexible members or other particular types of gearing-Smoothing ratio shift-by controlling rate of change of fluid pressure-using electric control means",1
Johnson Controls Technology Company,"Condensers in which the steam or vapour is separate from the cooling medium by walls, e.g. surface condenser-using air or other gas as the cooling medium",1
Johnson Controls Technology Company,"Control or safety arrangements-for purposes related to the operation of the system, e.g. for safety or monitoring",1
Johnson Controls Technology Company,"Details other than those peculiar to special kinds or types of apparatus -Devices for alarm or indication, e.g. when empty; Advertising arrangements in coin-freed apparatus -Arrangements for display, data presentation or advertising-the arrangements being full-front touchscreens",1
Johnson Controls Technology Company,"Heat-exchange apparatus having stationary conduit assemblies for one heat-exchange medium only, the media being in contact with different sides of the conduit wall, in which the other heat-exchange medium is a large body of fluid, e.g. domestic or motor car radiators -with heat-exchange conduits immersed in the body of fluid-with tubular conduits -the conduits being straight-the conduits having a non-circular cross-section",1
KABUSHIKI KAISHA SENRYOU,"Mechanical-power-producing mechanisms, not otherwise provided for or using energy sources not otherwise provided for-recovering energy derived from swinging, rolling, pitching or like movements, e.g. from the vibrations of a machine",1
KABUSHIKI KAISHA TOSHIBA,"Conversion of ac power input into dc power output; Conversion of dc power input into ac power output-Conversion of dc power input into ac power output without possibility of reversal-by static converters-using discharge tubes with control electrode or semiconductor devices with control electrode-using devices of a triode or transistor type requiring continuous application of a control signal -using semiconductor devices only, e.g. single switched pulse inverters",1
KABUSHIKI KAISHA TOSHIBA,"Details of windings-Windings characterised by the conductor shape, form or construction, e.g. with bar conductors-arranged in slots",1
KABUSHIKI KAISHA TOSHIBA,"Electrodes-Electrodes composed of or comprising active material-Selection of inactive substances as ingredients for active masses, e.g. binders, fillers-Electric conductive fillers-Carbon or graphite",1
KABUSHIKI KAISHA TOYOTA JIDOSHOKKI,"Fuel-injectors not provided for in groups F02M39/00 - F02M57/00 or F02M67/00-Details not provided for in, or of interest apart from, the apparatus of groups F02M61/02 - F02M61/14-Injection nozzles, e.g. having valve seats; ; Details of valve member seated ends, not otherwise provided for-characterised by the arrangement of discharge orifices, e.g. orientation or size-Discharge orifices having changing cross sections, e.g. being divergent",1
KABUSHIKI KAISHA TOYOTA JIDOSHOKKI,"Methods or circuit arrangements for monitoring or controlling batteries or fuel cells, specially adapted for electric vehicles-for monitoring or controlling batteries-for controlling the temperature of batteries-by controlling the electric load",1
KEIHIN CORPORATION,"Details, component parts, or accessories -Casings; Connections of working fluid -for radial or helico-centrifugal pumps-Fluid-guiding means, e.g. diffusers-especially adapted for elastic fluid pumps",1
KEIHIN CORPORATION,Other air-treating devices-Filtering -Filter arrangements in the air stream-with provisions for replacing the filter element,1
"KIC VENTURES, LLC","Instruments, implements or accessories specially adapted for surgery or diagnosis and not covered by any of the groups A61B1/00 - A61B50/00, e.g. for luxation treatment or for protecting wound edges -Image-producing devices or illumination devices not otherwise provided for-Surgical systems with images on a monitor during operation",1
"KOITO MANUFACTURING CO., LTD.","Arrangements or adaptations of optical signalling or lighting devices -the devices being primarily intended to illuminate the way ahead or to illuminate other areas of way or environments-the devices being headlights-adjustable, e.g. remotely controlled from inside vehicle -automatically-due to steering position",1
"KOITO MANUFACTURING CO., LTD.","Illuminating devices specially adapted for vehicle exteriors, e.g. headlamps -characterised by reflectors-characterised by their material, surface treatment or coatings",1
KOMATSU LTD.,"Component parts of dredgers or soil-shifting machines, not restricted to one of the kinds covered by groups E02F3/00 - E02F7/00 -Drives; Control devices -Electric or electro-mechanical or mechanical control devices of vehicle sub-units -Control of vehicle braking systems",1
KONINKLIJKE PHILIPS N.V.,"Automatic control of frequency or phase; Synchronisation -using a reference signal applied to a frequency- or phase-locked loop-Indirect frequency synthesis, i.e. generating a desired one of a number of predetermined frequencies using a frequency- or phase-locked loop-using a frequency divider or counter in the loop -a time difference being used for locking the loop, the counter counting between fixed numbers or the frequency divider dividing by a fixed number -using means for coarse tuning the voltage controlled oscillator of the loop",1
